=== phase: unique ===
rows 40,000,000
unique positions 31,362,459  (78.4% of rows)
=== phase: label ===
chunks 15,682  remaining 15,682  workers 16  depth=8 (ceiling 150000 nodes)  multipv=4  sort_lines=True
  RATE after 100,000: 681 pos/sec aggregate on 16 cores
  12,400,000/31,362,459  877/s  eta 6.0h
  12,500,000/31,362,459  877/s  eta 6.0h
  12,600,000/31,362,459  877/s  eta 5.9h
  12,700,000/31,362,459  877/s  eta 5.9h
  12,800,000/31,362,459  877/s  eta 5.9h
  12,900,000/31,362,459  877/s  eta 5.8h
  13,000,000/31,362,459  877/s  eta 5.8h
  13,100,000/31,362,459  877/s  eta 5.8h
  13,200,000/31,362,459  877/s  eta 5.8h
  13,300,000/31,362,459  877/s  eta 5.7h
  13,400,000/31,362,459  877/s  eta 5.7h
  13,500,000/31,362,459  877/s  eta 5.7h
  13,600,000/31,362,459  877/s  eta 5.6h
  13,700,000/31,362,459  877/s  eta 5.6h
  13,800,000/31,362,459  877/s  eta 5.6h
  13,900,000/31,362,459  877/s  eta 5.5h
  14,000,000/31,362,459  877/s  eta 5.5h
  14,100,000/31,362,459  877/s  eta 5.5h
  14,200,000/31,362,459  877/s  eta 5.4h
  14,300,000/31,362,459  878/s  eta 5.4h
  14,400,000/31,362,459  878/s  eta 5.4h
  14,500,000/31,362,459  878/s  eta 5.3h
  14,600,000/31,362,459  877/s  eta 5.3h
  14,700,000/31,362,459  877/s  eta 5.3h
  14,800,000/31,362,459  877/s  eta 5.2h
  14,900,000/31,362,459  878/s  eta 5.2h
  15,000,000/31,362,459  878/s  eta 5.2h
  15,100,000/31,362,459  878/s  eta 5.1h
  15,200,000/31,362,459  878/s  eta 5.1h
  15,300,000/31,362,459  878/s  eta 5.1h
  15,400,000/31,362,459  878/s  eta 5.1h
  15,500,000/31,362,459  878/s  eta 5.0h
  15,600,000/31,362,459  878/s  eta 5.0h
  15,700,000/31,362,459  878/s  eta 5.0h
  15,800,000/31,362,459  878/s  eta 4.9h
  15,900,000/31,362,459  878/s  eta 4.9h
  16,000,000/31,362,459  878/s  eta 4.9h
  16,100,000/31,362,459  878/s  eta 4.8h
  16,200,000/31,362,459  878/s  eta 4.8h
  16,300,000/31,362,459  878/s  eta 4.8h
  16,400,000/31,362,459  878/s  eta 4.7h
  16,500,000/31,362,459  878/s  eta 4.7h
  16,600,000/31,362,459  878/s  eta 4.7h
  16,700,000/31,362,459  878/s  eta 4.6h
  16,800,000/31,362,459  878/s  eta 4.6h
  16,900,000/31,362,459  878/s  eta 4.6h
  17,000,000/31,362,459  878/s  eta 4.5h
  17,100,000/31,362,459  878/s  eta 4.5h
  17,200,000/31,362,459  878/s  eta 4.5h
  17,300,000/31,362,459  879/s  eta 4.4h
  17,400,000/31,362,459  879/s  eta 4.4h
  17,500,000/31,362,459  879/s  eta 4.4h
  17,600,000/31,362,459  879/s  eta 4.4h
  17,700,000/31,362,459  879/s  eta 4.3h
  17,800,000/31,362,459  879/s  eta 4.3h
  17,900,000/31,362,459  879/s  eta 4.3h
  18,000,000/31,362,459  879/s  eta 4.2h
  18,100,000/31,362,459  879/s  eta 4.2h
  18,200,000/31,362,459  879/s  eta 4.2h
  18,300,000/31,362,459  879/s  eta 4.1h
  18,400,000/31,362,459  879/s  eta 4.1h
  18,500,000/31,362,459  879/s  eta 4.1h
  18,600,000/31,362,459  879/s  eta 4.0h
  18,700,000/31,362,459  879/s  eta 4.0h
  18,800,000/31,362,459  879/s  eta 4.0h
  18,900,000/31,362,459  879/s  eta 3.9h
  19,000,000/31,362,459  879/s  eta 3.9h
  19,100,000/31,362,459  879/s  eta 3.9h
  19,200,000/31,362,459  879/s  eta 3.8h
  19,300,000/31,362,459  879/s  eta 3.8h
  19,400,000/31,362,459  879/s  eta 3.8h
  19,500,000/31,362,459  879/s  eta 3.7h
  19,600,000/31,362,459  879/s  eta 3.7h
  19,700,000/31,362,459  879/s  eta 3.7h
  19,800,000/31,362,459  879/s  eta 3.7h
  19,900,000/31,362,459  880/s  eta 3.6h
  20,000,000/31,362,459  879/s  eta 3.6h
  20,100,000/31,362,459  879/s  eta 3.6h
  20,200,000/31,362,459  879/s  eta 3.5h
  20,300,000/31,362,459  879/s  eta 3.5h
  20,400,000/31,362,459  880/s  eta 3.5h
  20,500,000/31,362,459  880/s  eta 3.4h
  20,600,000/31,362,459  880/s  eta 3.4h
  20,700,000/31,362,459  880/s  eta 3.4h
  20,800,000/31,362,459  881/s  eta 3.3h
  20,900,000/31,362,459  881/s  eta 3.3h
  21,000,000/31,362,459  881/s  eta 3.3h
  21,100,000/31,362,459  882/s  eta 3.2h
  21,200,000/31,362,459  882/s  eta 3.2h
  21,300,000/31,362,459  883/s  eta 3.2h
  21,400,000/31,362,459  883/s  eta 3.1h
  21,500,000/31,362,459  883/s  eta 3.1h
  21,600,000/31,362,459  884/s  eta 3.1h
  21,700,000/31,362,459  884/s  eta 3.0h
  21,800,000/31,362,459  884/s  eta 3.0h
  21,900,000/31,362,459  885/s  eta 3.0h
  22,000,000/31,362,459  885/s  eta 2.9h
  22,100,000/31,362,459  886/s  eta 2.9h
  22,200,000/31,362,459  886/s  eta 2.9h
  22,300,000/31,362,459  886/s  eta 2.8h
  22,400,000/31,362,459  887/s  eta 2.8h
  22,500,000/31,362,459  887/s  eta 2.8h
  22,600,000/31,362,459  887/s  eta 2.7h
  22,700,000/31,362,459  888/s  eta 2.7h
  22,800,000/31,362,459  888/s  eta 2.7h
  22,900,000/31,362,459  888/s  eta 2.6h
  23,000,000/31,362,459  889/s  eta 2.6h
  23,100,000/31,362,459  889/s  eta 2.6h
  23,200,000/31,362,459  889/s  eta 2.5h
  23,300,000/31,362,459  889/s  eta 2.5h
  23,400,000/31,362,459  890/s  eta 2.5h
  23,500,000/31,362,459  890/s  eta 2.5h
  23,600,000/31,362,459  891/s  eta 2.4h
  23,700,000/31,362,459  891/s  eta 2.4h
  23,800,000/31,362,459  891/s  eta 2.4h
  23,900,000/31,362,459  892/s  eta 2.3h
  24,000,000/31,362,459  892/s  eta 2.3h
  24,100,000/31,362,459  892/s  eta 2.3h
  24,200,000/31,362,459  892/s  eta 2.2h
  24,300,000/31,362,459  892/s  eta 2.2h
  24,400,000/31,362,459  893/s  eta 2.2h
  24,500,000/31,362,459  893/s  eta 2.1h
  24,600,000/31,362,459  893/s  eta 2.1h
  24,700,000/31,362,459  894/s  eta 2.1h
  24,800,000/31,362,459  894/s  eta 2.0h
  24,900,000/31,362,459  894/s  eta 2.0h
  25,000,000/31,362,459  894/s  eta 2.0h
  25,100,000/31,362,459  894/s  eta 1.9h
  25,200,000/31,362,459  895/s  eta 1.9h
  25,300,000/31,362,459  895/s  eta 1.9h
  25,400,000/31,362,459  895/s  eta 1.9h
  25,500,000/31,362,459  895/s  eta 1.8h
